iter	F1	Logloss
96	0.7590618337	0.2311957528
97	0.7590618337	0.2298669045
98	0.7590618337	0.2293515462
99	0.7590618337	0.2281394442
100	0.7590618337	0.2265104232
101	0.7590618337	0.2259744036
102	0.7590618337	0.2254069649
103	0.7590618337	0.2248707833
104	0.7617021277	0.2239068843
105	0.7669491525	0.2230742128
106	0.7669491525	0.2216617947
107	0.7695560254	0.220365282
108	0.7721518987	0.2191525846
109	0.7669491525	0.218130039
110	0.7669491525	0.2173200029
111	0.7669491525	0.2161631625
112	0.7669491525	0.2154404607
113	0.7747368421	0.2139828808
114	0.7773109244	0.2134761433
115	0.7747368421	0.2124870985
116	0.7773109244	0.211228412
117	0.7798742138	0.2106489913
118	0.7773109244	0.2093449722
119	0.7824267782	0.2081031109
120	0.7849686848	0.2072403933
121	0.7849686848	0.2060740157
122	0.7875	0.2052697534
123	0.7950310559	0.2041775516
124	0.7950310559	0.2031955759
125	0.7950310559	0.2030763275
126	0.7950310559	0.2015871965
127	0.7950310559	0.2011600143
128	0.7950310559	0.2008588601
129	0.7950310559	0.2004943917
130	0.7950310559	0.1999936234
131	0.7950310559	0.1993148786
132	0.7975206612	0.1980371
133	0.7975206612	0.1970242399
134	0.8	0.1964547858
135	0.8	0.1955082492
136	0.8024691358	0.1947383022
137	0.7975206612	0.1942361666
138	0.8024691358	0.193308365
139	0.8098159509	0.1923558159
140	0.8049281314	0.190355443
141	0.8073770492	0.1895504384
142	0.8073770492	0.188291275
143	0.8073770492	0.1872327153
144	0.812244898	0.1862989759
145	0.812244898	0.1853562956
146	0.8170731707	0.1843047537
147	0.8194726166	0.1835717873
148	0.8194726166	0.1827640354
149	0.8194726166	0.1820311198
150	0.8218623482	0.1808413529
151	0.8194726166	0.1800374614
152	0.8194726166	0.1795765958
153	0.8218623482	0.1789681548
154	0.8218623482	0.1781537898
155	0.8242424242	0.1779204695
156	0.8242424242	0.1766763814
157	0.8266129032	0.1757440188
158	0.8289738431	0.1747578835
159	0.8336673347	0.1736257429
160	0.8336673347	0.1730335084
161	0.8336673347	0.1713192671
162	0.8336673347	0.1702922035
163	0.8336673347	0.1695198128
164	0.836	0.1686629054
165	0.8336673347	0.1683454515
166	0.836	0.1677526341
167	0.8383233533	0.1673034834
168	0.8429423459	0.1658464339
169	0.8406374502	0.1643576119
170	0.8498023715	0.1631816253
171	0.8520710059	0.1623350454
172	0.8520710059	0.1620706531
173	0.8543307087	0.1612432877
174	0.8565815324	0.1606066519
175	0.8610567515	0.1601623129
176	0.8610567515	0.1593121266
177	0.86328125	0.1582783718
178	0.865497076	0.1571595467
179	0.865497076	0.1568739239
180	0.8677042802	0.1564228399
181	0.8677042802	0.1556561491
182	0.8677042802	0.1547995007
183	0.8677042802	0.1536092811
184	0.8677042802	0.1535326031
185	0.8699029126	0.1526102245
186	0.8720930233	0.1513796606
187	0.8764478764	0.1496554872
188	0.8786127168	0.1492838776
189	0.8764478764	0.1486431721
190	0.8786127168	0.1478610187
191	0.8807692308	0.1471772802
192	0.8829174664	0.1462784733
193	0.8829174664	0.1455615896
194	0.8850574713	0.1452540104
195	0.8850574713	0.1445737763
196	0.8850574713	0.1434896672
197	0.8850574713	0.1433526035
198	0.8829174664	0.1425928749
199	0.8829174664	0.1421006518
200	0.8850574713	0.1411914146
201	0.8850574713	0.1403938556
202	0.8850574713	0.1398881475
203	0.8850574713	0.1393433783
204	0.8871892925	0.1386713918
205	0.8871892925	0.1384346446
206	0.8871892925	0.1382773377
207	0.8893129771	0.1374406726
208	0.8914285714	0.1369369836
209	0.8977272727	0.1362991794
210	0.9018867925	0.1352989539
211	0.8998109641	0.1344926527
212	0.9018867925	0.1340653479
213	0.9039548023	0.1337224741
214	0.9039548023	0.1330453163
215	0.9039548023	0.1320554617
216	0.9039548023	0.131451071
217	0.9039548023	0.1311045986
218	0.9060150376	0.1305207636
219	0.9060150376	0.1302282759
220	0.9060150376	0.1298508092
221	0.9060150376	0.1296892102
222	0.9060150376	0.1295405844
223	0.9060150376	0.1294674841
224	0.9060150376	0.1291131836
225	0.9060150376	0.1281932613
226	0.9060150376	0.1280648776
227	0.9101123596	0.1272374102
228	0.9101123596	0.1264526382
229	0.9101123596	0.1257367271
230	0.9101123596	0.1247580547
231	0.9101123596	0.1236752456
232	0.9141791045	0.1233650641
233	0.9141791045	0.1228285686
234	0.9141791045	0.1225880092
235	0.9162011173	0.1217286971
236	0.9182156134	0.1212353628
237	0.9182156134	0.1209047551
238	0.9182156134	0.1207235176
239	0.9182156134	0.120273691
240	0.9182156134	0.119493766
241	0.926199262	0.1188765788
242	0.9242144177	0.1181706135
243	0.926199262	0.1171565026
244	0.9281767956	0.1167795749
245	0.926199262	0.1165863909
246	0.9281767956	0.1159369389
247	0.9281767956	0.1152968756
248	0.9281767956	0.1149825394
249	0.9281767956	0.1145229394
250	0.926199262	0.1139126891
251	0.9301470588	0.1135671657
252	0.9340659341	0.1131072838
253	0.9340659341	0.1128865454
254	0.9340659341	0.1126771745
255	0.9360146252	0.1121120465
256	0.9360146252	0.1118208917
257	0.9340659341	0.1113174353
258	0.9321100917	0.1107294843
259	0.9321100917	0.1104822353
260	0.9360146252	0.1098671502
261	0.9379562044	0.1095053353
262	0.9398907104	0.1091409199
263	0.9398907104	0.1089704214
264	0.943738657	0.1085830678
265	0.943738657	0.1080604671
266	0.9456521739	0.1075370649
267	0.9456521739	0.1068121149
268	0.9475587703	0.1062529802
269	0.9494584838	0.1053758537
270	0.9475587703	0.1047749129
271	0.9475587703	0.1043019407
272	0.9475587703	0.1040741302
273	0.9494584838	0.1037271906
274	0.9494584838	0.1035087493
275	0.9494584838	0.103394879
276	0.9494584838	0.1028281711
277	0.9532374101	0.1020698738
278	0.9551166966	0.1014098214
279	0.9551166966	0.1008913834
280	0.9551166966	0.1008240707
281	0.9551166966	0.1005401248
282	0.9569892473	0.1000012351
283	0.9569892473	0.09987066928
284	0.9569892473	0.09946792228
285	0.9569892473	0.09935616861
286	0.9607142857	0.09879874331
287	0.9607142857	0.09848854771
288	0.9625668449	0.09793159927
289	0.9625668449	0.09750009558
290	0.9625668449	0.09732470917
291	0.9607142857	0.09670355914
292	0.9607142857	0.09652264331
293	0.9607142857	0.09617478731
294	0.9607142857	0.09561354504
295	0.9607142857	0.09511349073
296	0.9607142857	0.09466296492
297	0.9644128114	0.09410621064
298	0.9644128114	0.09380522747
299	0.9644128114	0.09349564092
300	0.9680851064	0.09308878265
301	0.9680851064	0.09266622954
302	0.9699115044	0.09213478973
303	0.9717314488	0.09181778532
304	0.9717314488	0.09147770361
305	0.9717314488	0.09129234658
306	0.9717314488	0.09072914767
307	0.9717314488	0.09005814802
308	0.9717314488	0.08998350078
309	0.9699115044	0.08888955363
310	0.9717314488	0.08869795237
311	0.9717314488	0.08856608344
312	0.9735449735	0.08814044596
313	0.9735449735	0.08791732065
314	0.9735449735	0.08736055752
315	0.9735449735	0.08699006902
316	0.9735449735	0.08681158873
317	0.9735449735	0.08630169547
318	0.9771528998	0.08570793202
319	0.9771528998	0.08515343421
320	0.9753521127	0.0846134392
321	0.9753521127	0.08410768718
322	0.9753521127	0.08397087511
323	0.9753521127	0.08354709417
324	0.9753521127	0.08322757211
325	0.9753521127	0.08287220947
326	0.9753521127	0.08269184576
327	0.9771528998	0.08216397168
328	0.9771528998	0.08210967838
329	0.9753521127	0.08181593531
330	0.9753521127	0.08169361034
331	0.9753521127	0.08159282109
332	0.9771528998	0.08130940402
333	0.9789473684	0.0809928509
334	0.9807355517	0.08055722625
335	0.9807355517	0.08014735667
336	0.9789473684	0.07965104503
337	0.9789473684	0.07957533197
338	0.9807355517	0.07932630807
339	0.9807355517	0.07911375106
340	0.9807355517	0.07898069947
341	0.9807355517	0.07869508374
342	0.9807355517	0.07835927111
343	0.9825174825	0.07790842586
344	0.9825174825	0.07729604419
345	0.9825174825	0.07710033526
346	0.9825174825	0.07654018321
347	0.9860627178	0.07624483332
348	0.9842931937	0.07613018999
349	0.9842931937	0.075803393
350	0.9860627178	0.07538994591
351	0.9860627178	0.07533854748
352	0.987826087	0.07523935903
353	0.987826087	0.07477854697
354	0.9895833333	0.07427696922
355	0.9895833333	0.07425334642
356	0.9895833333	0.0741362884
357	0.9895833333	0.07367337961
358	0.9895833333	0.07365378784
359	0.9913344887	0.07334041761
360	0.9913344887	0.07311973069
361	0.9913344887	0.07280846885
362	0.9913344887	0.07257412289
363	0.9913344887	0.0723044575
364	0.9930795848	0.07178269771
365	0.9930795848	0.07165503925
366	0.9930795848	0.07138207525
367	0.9930795848	0.07120737503
368	0.9930795848	0.0711500785
369	0.9930795848	0.07091562934
370	0.9930795848	0.07050607012
371	0.9948186528	0.07013283887
372	0.9948186528	0.07004705414
373	0.9948186528	0.06988226057
374	0.9948186528	0.06979851164
375	0.9948186528	0.06967497371
376	0.9948186528	0.0695346827
377	0.9948186528	0.06919226444
378	0.9948186528	0.06911244723
379	0.9948186528	0.06881332112
380	0.9948186528	0.06874931413
381	0.9948186528	0.06849162442
382	0.9948186528	0.06818873661
383	0.9948186528	0.06810308402
384	0.9948186528	0.06788198916
385	0.9948186528	0.06763856027
386	0.9948186528	0.06743555081
387	0.9948186528	0.06715048098
388	0.9948186528	0.06686921994
389	0.9948186528	0.06678851821
390	0.9948186528	0.06656062883
391	0.9948186528	0.06609283529
392	0.9948186528	0.06574209718
393	0.9948186528	0.06562576537
394	0.9948186528	0.06537646053
395	0.9948186528	0.06524519793
396	0.9965517241	0.06490603103
397	0.9965517241	0.06454895484
398	0.9965517241	0.06440645588
399	0.9965517241	0.06421672807
400	0.9982788296	0.06394627472
401	0.9982788296	0.0637479458
402	1	0.06355731992
403	1	0.06345384991
404	1	0.0633483215
405	1	0.06303518018
406	1	0.06294749048
407	1	0.06281177509
408	1	0.06270318246
409	1	0.06258437401
410	1	0.06247372355
411	1	0.06225698602
412	1	0.06201817213
413	1	0.06171035347
414	1	0.06140519718
415	1	0.06111464904
416	1	0.06087279575
417	1	0.06046504848
418	1	0.06026665458
419	1	0.06003101128
420	1	0.05989492981
421	1	0.05952586084
422	1	0.05916816579
423	1	0.05910680949
424	1	0.05901418378
425	1	0.05875819932
426	1	0.05856542852
427	1	0.05839608814
428	1	0.05822352117
429	1	0.05798624889
430	1	0.05770671654
431	1	0.05751903363
432	1	0.05741439149
433	1	0.05735637392
434	1	0.05716619206
435	1	0.05699947142
436	1	0.05684053511
437	1	0.05667807925
438	1	0.05649262255
439	1	0.05640833829
440	1	0.05622929039
441	1	0.0558831831
442	1	0.05559769878
443	1	0.05553137128
444	1	0.05529423214
445	1	0.0551331712
446	1	0.05493584782
447	1	0.05479572605
448	1	0.05446791868
449	1	0.05425305449
450	1	0.05416138932
451	1	0.05392873016
452	1	0.05388282662
453	1	0.05383066181
454	1	0.05365761972
455	1	0.05349032685
456	1	0.05333366789
457	1	0.0532181704
458	1	0.05310269899
459	1	0.05297383562
460	1	0.05290790867
461	1	0.05260342342
462	1	0.05250806972
463	1	0.05242550778
464	1	0.05226228981
465	1	0.05203184646
466	1	0.05186904498
467	1	0.05161576066
468	1	0.05158813989
469	1	0.05126769855
470	1	0.05097087179
471	1	0.05069773751
472	1	0.05035214431
473	1	0.05025254307
474	1	0.0502269838
475	1	0.05019405706
476	1	0.05008608789
477	1	0.05003090128
478	1	0.04981839078
479	1	0.0497287577
480	1	0.04964216503
481	1	0.04956479192
482	1	0.04933316803
483	1	0.04927926957
484	1	0.04912067525
485	1	0.04898351972
486	1	0.04871356732
487	1	0.04854479691
488	1	0.04842121897
489	1	0.0483062255
490	1	0.04808218406
491	1	0.04802467441
492	1	0.04773198758
493	1	0.04770110826
494	1	0.04744302344
495	1	0.04724633485
496	1	0.04712022667
497	1	0.04701879592
498	1	0.04696591427
499	1	0.04693248418
500	1	0.04684151759
501	1	0.04678495506
502	1	0.0466981894
503	1	0.04664188091
504	1	0.04658169504
505	1	0.04645052433
506	1	0.04623415477
507	1	0.0460583966
508	1	0.04596735585
509	1	0.04596247392
510	1	0.04581072619
511	1	0.04573809198
512	1	0.04550769216
513	1	0.04542869494
514	1	0.04527538105
515	1	0.04516537517
516	1	0.04507588541
517	1	0.04500399713
518	1	0.04479399924
519	1	0.0447323889
520	1	0.044570579
521	1	0.0444038843
522	1	0.044282945
523	1	0.04415296723
524	1	0.0439108679
525	1	0.04374790613
526	1	0.04360334049
527	1	0.04352343076
528	1	0.04342195656
529	1	0.0433013673
530	1	0.04321733015
531	1	0.04307658407
532	1	0.04295052983
533	1	0.04284287946
534	1	0.04276715479
535	1	0.04271213943
536	1	0.04249906742
537	1	0.04237980471
538	1	0.04222843512
539	1	0.0420439497
540	1	0.04198448278
541	1	0.04186123663
542	1	0.04180610393
543	1	0.04163696186
544	1	0.04151164367
545	1	0.04134721713
546	1	0.04125617541
547	1	0.04119883841
548	1	0.04113141863
549	1	0.04101889905
550	1	0.04096946352
551	1	0.0409142083
552	1	0.04082726228
553	1	0.04064595671
554	1	0.04055406721
555	1	0.04042373241
556	1	0.04040680074
557	1	0.04021112269
558	1	0.04015655077
559	1	0.04006443782
560	1	0.03978986833
561	1	0.03973395575
562	1	0.03965032049
563	1	0.03959182884
564	1	0.0395052856
565	1	0.03947629982
566	1	0.03936453233
567	1	0.03916790058
568	1	0.03902834648
569	1	0.03898014356
570	1	0.03889820903
571	1	0.03861968443
572	1	0.03843441541
573	1	0.03837974084
574	1	0.03831899985
575	1	0.0381393406
576	1	0.03802342141
577	1	0.0380069901
578	1	0.03792182717
579	1	0.03773551888
580	1	0.0376295532
581	1	0.03758657539
582	1	0.03740609723
583	1	0.03734977996
584	1	0.03718900235
585	1	0.03711980652
586	1	0.03706616105
587	1	0.0370187297
588	1	0.03676790991
589	1	0.03676191537
590	1	0.03668806194
591	1	0.03659441021
592	1	0.03647814092
593	1	0.03645489495
594	1	0.03632938758
595	1	0.03622895362
596	1	0.03599464222
597	1	0.03586340617
598	1	0.03579738967
599	1	0.03560761502
600	1	0.03545350021
601	1	0.03540514999
602	1	0.03530519039
603	1	0.03528292137
604	1	0.03521444389
605	1	0.03507363525
606	1	0.03498794528
607	1	0.03491714076
608	1	0.03480760797
609	1	0.03471533139
610	1	0.03464040918
611	1	0.03454345833
612	1	0.03442051607
613	1	0.03438680437
614	1	0.03430973797
615	1	0.03424758692
616	1	0.03414214958
617	1	0.03402891201
618	1	0.03400583669
619	1	0.03388580941
620	1	0.03376129909
621	1	0.03373604119
622	1	0.03366957927
623	1	0.03362976865
624	1	0.03355334667
625	1	0.03351620186
626	1	0.03345262847
627	1	0.03342541058
628	1	0.03330161701
629	1	0.03319447998
630	1	0.03307964329
631	1	0.03300680071
632	1	0.03291536977
633	1	0.03282562502
634	1	0.03277032649
635	1	0.03274827488
636	1	0.03264916124
637	1	0.03260561948
638	1	0.03259179805
639	1	0.03256443958
640	1	0.03254823666
641	1	0.03238955284
642	1	0.03231835117
643	1	0.03224347109
644	1	0.03221269666
645	1	0.03220347381
646	1	0.03216045735
647	1	0.03212651273
648	1	0.03198636029
649	1	0.03186317001
650	1	0.03184921964
651	1	0.03176249765
652	1	0.03165797336
653	1	0.03149929582
654	1	0.03144727426
655	1	0.03143976564
656	1	0.03140424
657	1	0.03131205958
658	1	0.03109017443
659	1	0.03098104172
660	1	0.03088558546
661	1	0.03079291936
662	1	0.0307613919
663	1	0.03067940922
664	1	0.03059344687
665	1	0.0305465989
666	1	0.03052550468
667	1	0.03046251209
668	1	0.03045075541
669	1	0.03041240286
670	1	0.03034947435
671	1	0.03029915403
672	1	0.03027213667
673	1	0.03025202578
674	1	0.03017827027
675	1	0.03015752992
676	1	0.03011506624
677	1	0.0299812267
678	1	0.0297403757
679	1	0.0296145127
680	1	0.02954993249
681	1	0.0294778408
682	1	0.02941758812
683	1	0.02938180935
684	1	0.02930291052
685	1	0.02922197947
686	1	0.0292023935
687	1	0.02914736543
688	1	0.02907687548
689	1	0.02896755896
690	1	0.02892548541
691	1	0.02891377833
692	1	0.02885698336
693	1	0.02883333356
694	1	0.0288055317
695	1	0.02874337308
696	1	0.02869879011
697	1	0.02867927845
698	1	0.02866207471
699	1	0.02864839843
700	1	0.02860372515
701	1	0.02855757266
702	1	0.02850716188
703	1	0.02844111217
704	1	0.02840977975
705	1	0.02830283952
706	1	0.02821182922
707	1	0.02806655239
708	1	0.02795267907
709	1	0.02790215805
710	1	0.0278202038
711	1	0.02775093615
712	1	0.02766911267
713	1	0.02757831684
714	1	0.02754545916
715	1	0.02752028397
716	1	0.02751934874
717	1	0.02749576571
718	1	0.02738914732
719	1	0.02727595234
720	1	0.02720040406
721	1	0.02710179491
722	1	0.02708706222
723	1	0.02692789163
724	1	0.0268980885
725	1	0.02684534045
726	1	0.02681967117
727	1	0.02677185706
728	1	0.02668887241
729	1	0.02659076063
730	1	0.02657993716
731	1	0.02652150667
732	1	0.02650186757
733	1	0.02643243341
734	1	0.02635732062
735	1	0.02629776235
736	1	0.02620695008
737	1	0.02613584574
738	1	0.02609917808
739	1	0.02608008011
740	1	0.02599126942
741	1	0.02595100556
742	1	0.02589663981
743	1	0.02588126206
744	1	0.02586670343
745	1	0.02584334854
746	1	0.02576884293
747	1	0.02569339993
748	1	0.02563498549
749	1	0.02560265101
750	1	0.02550661861
751	1	0.02546562564
752	1	0.02544021685
753	1	0.02538366787
754	1	0.02534623481
755	1	0.02531966389
756	1	0.02530319658
757	1	0.02524051978
758	1	0.02521127158
759	1	0.02520301762
760	1	0.02510211881
761	1	0.02507283487
762	1	0.02504944705
763	1	0.02502154382
764	1	0.0249307895
765	1	0.02484026827
766	1	0.02479909985
767	1	0.02476944357
768	1	0.02471621047
769	1	0.02467173309
770	1	0.02463252045
771	1	0.02457761088
772	1	0.02454281779
773	1	0.02441334557
774	1	0.02435115146
775	1	0.02430075847
776	1	0.02428744897
777	1	0.02425976648
778	1	0.02421354746
779	1	0.02418030448
780	1	0.02414654431
781	1	0.02411359715
782	1	0.02409622513
783	1	0.02402979881
784	1	0.02396430233
785	1	0.02390764318
786	1	0.02386174875
787	1	0.02382291531
788	1	0.02381000217
789	1	0.02377731616
790	1	0.02374621459
791	1	0.02366914278
792	1	0.02361269302
793	1	0.02359649831
794	1	0.02354165627
795	1	0.02352012219
796	1	0.02346282853
797	1	0.0234304753
798	1	0.02341186484
799	1	0.02329603433
800	1	0.02328922844
801	1	0.0232511789
802	1	0.02322654513
803	1	0.02318182009
804	1	0.02315163402
805	1	0.02312055244
806	1	0.02311669665
807	1	0.02306469602
808	1	0.02300116151
809	1	0.02295987226
810	1	0.02294631389
811	1	0.02289635449
812	1	0.02282535975
813	1	0.02271639087
814	1	0.02270113778
815	1	0.02267181297
816	1	0.02261561992
817	1	0.02260316201
818	1	0.02253594876
819	1	0.02252098984
820	1	0.02249488587
821	1	0.02243920145
822	1	0.02241281316
823	1	0.02235020523
824	1	0.02230523271
825	1	0.02226249948
826	1	0.02220530336
827	1	0.0221841929
828	1	0.02217777961
829	1	0.02213857252
830	1	0.02205525573
831	1	0.02204350923
832	1	0.02203267623
833	1	0.02200155751
834	1	0.02196423794
835	1	0.02191604916
836	1	0.02186477096
837	1	0.02178907903
838	1	0.0217771966
839	1	0.02175044444
840	1	0.02172051987
841	1	0.02166616309
842	1	0.02162111441
843	1	0.02161794413
844	1	0.02154901374
845	1	0.02154257397
846	1	0.02152690208
847	1	0.02148248105
848	1	0.02140863391
849	1	0.02140084523
850	1	0.02132128193
851	1	0.021289696
852	1	0.0212530287
853	1	0.02119564827
854	1	0.0211471851
855	1	0.02112289934
856	1	0.02110279256
857	1	0.02109151753
858	1	0.02105852822
859	1	0.02102141285
860	1	0.02100742202
861	1	0.02095966275
862	1	0.02095186529
863	1	0.0209195287
864	1	0.02080985598
865	1	0.0207834398
866	1	0.02073250179
867	1	0.02066688383
868	1	0.02064215937
869	1	0.02063123033
870	1	0.02054373076
871	1	0.02047843865
872	1	0.02041738583
873	1	0.02033974854
874	1	0.02029542643
875	1	0.02026137573
876	1	0.02024285262
877	1	0.02018351793
878	1	0.02016556447
879	1	0.02015254438
880	1	0.020137054
881	1	0.02011614835
882	1	0.02011306822
883	1	0.02007738703
884	1	0.0200593716
885	1	0.02004736883
886	1	0.01996732614
887	1	0.01995842632
888	1	0.01993936621
889	1	0.01990322393
890	1	0.01980149437
891	1	0.01979301853
892	1	0.01975881582
893	1	0.01963297199
894	1	0.01956033778
895	1	0.01951981101
896	1	0.01945737445
897	1	0.01936134345
898	1	0.01931434256
899	1	0.01928183506
900	1	0.01924433966
901	1	0.01921048015
902	1	0.01920785872
903	1	0.01920178565
904	1	0.01914625838
905	1	0.01907257294
906	1	0.01903629265
907	1	0.01899218135
908	1	0.01896304752
909	1	0.01895147518
910	1	0.0189503818
911	1	0.01890635955
912	1	0.01889919037
913	1	0.01884584243
914	1	0.01880674773
915	1	0.018765237
916	1	0.01873477468
917	1	0.01869995957
918	1	0.01864658661
919	1	0.01861983473
920	1	0.01855260449
921	1	0.01854112774
922	1	0.01847943506
923	1	0.01846963496
924	1	0.01843439457
925	1	0.01841402867
926	1	0.01837805557
927	1	0.01836545564
928	1	0.01834575681
929	1	0.01833653493
930	1	0.01829551503
931	1	0.01826777083
932	1	0.01825851867
933	1	0.01822938442
934	1	0.01821970213
935	1	0.01820169485
936	1	0.0181757324
937	1	0.01813877527
938	1	0.01813056405
939	1	0.01807641289
940	1	0.01805837203
941	1	0.01797395596
942	1	0.01795014271
943	1	0.01793275093
944	1	0.01789126255
945	1	0.01787022669
946	1	0.0178625519
947	1	0.01785471656
948	1	0.01784219655
949	1	0.01782644542
950	1	0.01778454661
951	1	0.01773357897
952	1	0.0177193198
953	1	0.01767560476
954	1	0.01765758664
955	1	0.01764175755
956	1	0.01761117881
957	1	0.01759590272
958	1	0.01750565263
959	1	0.01741932346
960	1	0.01738890741
961	1	0.01735644928
962	1	0.01730457566
963	1	0.01729326472
964	1	0.01725737659
965	1	0.01723053324
966	1	0.01720553034
967	1	0.01720163678
968	1	0.01713556965
969	1	0.01712508969
970	1	0.0170854878
971	1	0.01705679607
972	1	0.01703894458
973	1	0.01703016447
974	1	0.01702406703
975	1	0.01700337756
976	1	0.01698180094
977	1	0.01697205471
978	1	0.01692031895
979	1	0.01689062504
980	1	0.01686157888
981	1	0.01684600833
982	1	0.01682629251
983	1	0.01679486829
984	1	0.01677850495
985	1	0.01674252896
986	1	0.01671107985
987	1	0.0166940329
988	1	0.01668578948
989	1	0.01665569739
990	1	0.01662319365
991	1	0.01661334535
992	1	0.01660718384
993	1	0.01660400788
994	1	0.01657520373
995	1	0.01656563754
996	1	0.01654635798
997	1	0.01652740988
998	1	0.01651790978
999	1	0.01651131357
